Time,Untitled
2018/12/07 18:04:55.003,2.858847
2018/12/07 18:04:55.180,2.903558
2018/12/07 18:04:55.377,2.989786
2018/12/07 18:04:55.552,2.964237
2018/12/07 18:04:55.741,2.999367
2018/12/07 18:04:55.943,3.203759
2018/12/07 18:04:56.143,3.17821
2018/12/07 18:04:56.330,3.162242
2018/12/07 18:04:56.528,3.219727
2018/12/07 18:04:56.715,3.21334
2018/12/07 18:04:56.927,3.312342
2018/12/07 18:04:57.129,3.357053
2018/12/07 18:04:57.307,3.296374
2018/12/07 18:04:57.500,3.440088
2018/12/07 18:04:57.688,3.404958
2018/12/07 18:04:57.889,3.46883
2018/12/07 18:04:58.096,3.673223
2018/12/07 18:04:58.291,3.775419
2018/12/07 18:04:58.496,3.670029
2018/12/07 18:04:58.699,3.800968
2018/12/07 18:04:58.908,3.855259
2018/12/07 18:04:59.095,3.82013
2018/12/07 18:04:59.299,3.721127
2018/12/07 18:04:59.515,3.590188
2018/12/07 18:04:59.695,3.46883
2018/12/07 18:04:59.892,3.472024
2018/12/07 18:05:00.094,3.369828
2018/12/07 18:05:00.291,3.305955
2018/12/07 18:05:00.499,3.050465
2018/12/07 18:05:00.708,3.57422
2018/12/07 18:05:00.896,2.973818
2018/12/07 18:05:01.081,2.574614
2018/12/07 18:05:01.267,2.826911
2018/12/07 18:05:01.457,2.74707
2018/12/07 18:05:01.623,2.785393
2018/12/07 18:05:01.834,3.24847
2018/12/07 18:05:02.032,2.820523
2018/12/07 18:05:02.226,3.312342
2018/12/07 18:05:02.426,2.903558
2018/12/07 18:05:02.607,2.830104
2018/12/07 18:05:02.798,3.197372
2018/12/07 18:05:02.996,3.120725
2018/12/07 18:05:03.188,2.88759
2018/12/07 18:05:03.393,3.21334
2018/12/07 18:05:03.583,3.044077
2018/12/07 18:05:03.787,2.88759
2018/12/07 18:05:04.001,3.373021
2018/12/07 18:05:04.219,2.951462
2018/12/07 18:05:04.417,2.865234
2018/12/07 18:05:04.598,3.21334
2018/12/07 18:05:04.793,3.334698
2018/12/07 18:05:04.994,2.957849
2018/12/07 18:05:05.201,3.069626
2018/12/07 18:05:05.401,3.293181
2018/12/07 18:05:05.588,2.919526
