Time,Untitled
2018/12/07 17:49:14.140,0.035678
2018/12/07 17:51:05.197,0.070808
2018/12/07 17:51:05.362,0.144261
2018/12/07 17:51:05.530,0.016516
2018/12/07 17:51:05.703,0.051646
2018/12/07 17:51:05.893,0.051646
2018/12/07 17:51:06.047,0.086776
2018/12/07 17:51:06.225,0.058033
2018/12/07 17:55:37.125,-0.108035
2018/12/07 17:55:37.299,-0.108035
2018/12/07 17:55:37.483,-0.114423
2018/12/07 17:55:37.669,-0.082486
2018/12/07 17:55:37.844,-0.111229
2018/12/07 17:55:38.061,-0.111229
2018/12/07 17:55:38.244,-0.114423
2018/12/07 17:55:38.424,-0.12081
2018/12/07 17:55:38.595,-0.114423
2018/12/07 17:55:38.764,-0.117616
2018/12/07 17:55:38.948,-0.111229
2018/12/07 17:55:39.133,-0.117616
2018/12/07 17:55:39.324,-0.117616
2018/12/07 17:55:39.502,-0.114423
2018/12/07 17:55:39.680,-0.114423
2018/12/07 17:55:39.871,-0.114423
2018/12/07 17:55:40.068,-0.114423
2018/12/07 17:55:40.273,-0.111229
2018/12/07 17:55:40.462,-0.114423
2018/12/07 17:55:40.647,-0.114423
2018/12/07 17:55:40.832,-0.12081
2018/12/07 17:55:40.992,-0.111229
2018/12/07 17:55:41.165,-0.114423
2018/12/07 17:55:41.357,-0.114423
2018/12/07 17:55:41.550,-0.111229
2018/12/07 17:55:41.713,-0.117616
2018/12/07 17:55:41.905,-0.108035
2018/12/07 17:55:42.084,-0.108035
2018/12/07 17:55:42.269,-0.114423
2018/12/07 17:55:42.435,-0.117616
2018/12/07 17:55:42.614,-0.117616
2018/12/07 17:55:42.797,-0.12081
2018/12/07 17:55:42.969,-0.111229
2018/12/07 17:55:43.151,-0.117616
2018/12/07 17:55:43.344,-0.114423
2018/12/07 17:55:43.529,-0.108035
2018/12/07 17:55:43.723,-0.111229
2018/12/07 17:55:43.914,-0.111229
2018/12/07 17:55:44.095,-0.111229
2018/12/07 17:55:44.282,-0.117616
2018/12/07 17:55:44.461,-0.114423
2018/12/07 17:55:44.644,-0.111229
2018/12/07 17:55:44.817,-0.114423
2018/12/07 17:55:44.981,-0.114423
2018/12/07 17:55:45.162,-0.111229
2018/12/07 17:55:45.356,-0.098454
2018/12/07 17:55:45.540,-0.111229
2018/12/07 17:55:45.724,-0.114423
2018/12/07 17:55:45.916,-0.111229
2018/12/07 17:55:46.095,-0.114423
2018/12/07 17:55:46.279,-0.111229
2018/12/07 17:55:46.463,-0.114423
2018/12/07 17:55:46.636,-0.117616
2018/12/07 17:55:46.814,-0.111229
2018/12/07 17:55:47.005,-0.111229
2018/12/07 17:55:47.194,-0.108035
2018/12/07 17:55:47.384,-0.111229
2018/12/07 17:55:47.573,-0.114423
2018/12/07 17:55:47.753,-0.12081
2018/12/07 17:55:47.924,-0.101648
2018/12/07 17:55:48.095,-0.117616
2018/12/07 17:55:48.298,-0.111229
2018/12/07 17:55:48.486,-0.111229
2018/12/07 17:55:48.654,-0.111229
2018/12/07 17:55:48.841,-0.108035
2018/12/07 17:55:49.024,-0.114423
2018/12/07 17:55:49.204,-0.117616
2018/12/07 17:55:49.383,-0.114423
2018/12/07 17:55:49.571,-0.114423
2018/12/07 17:55:49.764,-0.114423
2018/12/07 17:55:49.940,-0.12081
2018/12/07 17:55:50.132,-0.104842
2018/12/07 17:55:50.323,-0.12081
2018/12/07 17:55:50.512,-0.108035
2018/12/07 17:55:50.684,-0.124004
2018/12/07 17:55:50.868,-0.114423
2018/12/07 17:55:51.053,-0.108035
2018/12/07 17:55:51.242,-0.111229
2018/12/07 17:55:51.414,-0.076099
2018/12/07 17:55:51.608,-0.117616
2018/12/07 17:55:51.797,-0.111229
2018/12/07 17:55:51.989,-0.114423
2018/12/07 17:55:52.184,-0.114423
2018/12/07 17:55:52.377,-0.005839
2018/12/07 17:55:52.569,0.447656
2018/12/07 17:55:52.769,0.894764
2018/12/07 17:55:52.930,1.099157
2018/12/07 17:55:53.128,1.364228
2018/12/07 17:55:53.307,1.431294
2018/12/07 17:55:53.514,1.571814
2018/12/07 17:55:53.705,1.590976
2018/12/07 17:55:53.902,1.680397
2018/12/07 17:55:54.103,1.613331
2018/12/07 17:55:54.295,1.597363
2018/12/07 17:55:54.498,1.651655
2018/12/07 17:55:54.698,1.693172
2018/12/07 17:55:54.883,1.667623
2018/12/07 17:55:55.071,1.689978
2018/12/07 17:55:55.262,1.747464
2018/12/07 17:55:55.439,1.670817
2018/12/07 17:55:55.625,1.680397
2018/12/07 17:55:55.806,1.702753
2018/12/07 17:55:56.011,1.594169
2018/12/07 17:55:56.202,1.575008
2018/12/07 17:55:56.391,1.472811
2018/12/07 17:55:56.579,1.53349
2018/12/07 17:55:56.768,1.590976
2018/12/07 17:55:56.947,1.60375
2018/12/07 17:55:57.136,1.712334
