Time,Untitled
2018/12/07 17:16:36.882,-0.01542
2018/12/07 17:17:05.141,0.080389
2018/12/07 17:17:05.316,0.061227
2018/12/07 17:17:05.506,0.038872
2018/12/07 17:17:05.711,0.115519
2018/12/07 17:17:05.902,0.070808
2018/12/07 17:17:06.109,0.058033
2018/12/07 17:17:06.288,0.112325
2018/12/07 17:33:29.213,-0.095261
2018/12/07 17:33:29.397,-0.104842
2018/12/07 17:33:29.571,-0.108035
2018/12/07 17:33:29.743,-0.092067
2018/12/07 17:33:29.929,-0.111229
2018/12/07 17:33:30.108,-0.101648
2018/12/07 17:33:30.318,-0.108035
2018/12/07 17:33:30.482,-0.082486
2018/12/07 17:33:30.659,-0.098454
2018/12/07 17:33:30.831,-0.092067
2018/12/07 17:33:31.005,-0.092067
2018/12/07 17:33:31.181,-0.092067
2018/12/07 17:33:31.352,-0.08568
2018/12/07 17:33:31.537,-0.095261
2018/12/07 17:33:31.712,-0.108035
2018/12/07 17:33:31.911,-0.079293
2018/12/07 17:33:32.108,-0.076099
2018/12/07 17:33:32.284,-0.108035
2018/12/07 17:33:32.462,-0.098454
2018/12/07 17:33:32.636,-0.114423
2018/12/07 17:33:32.811,-0.114423
2018/12/07 17:33:33.002,-0.104842
2018/12/07 17:33:33.163,-0.111229
2018/12/07 17:33:33.347,-0.098454
2018/12/07 17:33:33.530,-0.111229
2018/12/07 17:33:33.707,-0.108035
2018/12/07 17:33:33.882,-0.111229
2018/12/07 17:33:34.053,-0.114423
2018/12/07 17:33:34.236,-0.104842
2018/12/07 17:33:34.412,-0.114423
2018/12/07 17:33:34.598,-0.104842
2018/12/07 17:33:34.788,-0.108035
2018/12/07 17:33:34.972,-0.079293
2018/12/07 17:33:35.154,-0.114423
2018/12/07 17:33:35.334,-0.117616
2018/12/07 17:33:35.503,-0.095261
2018/12/07 17:33:35.682,-0.092067
2018/12/07 17:33:35.876,-0.111229
2018/12/07 17:33:36.053,-0.108035
2018/12/07 17:33:36.230,-0.01542
2018/12/07 17:33:36.428,-0.108035
2018/12/07 17:33:36.614,-0.108035
2018/12/07 17:33:36.793,-0.092067
2018/12/07 17:33:36.976,-0.101648
2018/12/07 17:33:37.174,-0.111229
2018/12/07 17:33:37.338,-0.108035
2018/12/07 17:33:37.522,-0.108035
2018/12/07 17:33:37.706,-0.095261
2018/12/07 17:33:37.867,-0.088874
2018/12/07 17:33:38.067,-0.117616
2018/12/07 17:33:38.247,-0.069712
2018/12/07 17:33:38.419,-0.098454
2018/12/07 17:33:38.609,-0.108035
2018/12/07 17:33:38.791,-0.108035
2018/12/07 17:33:38.981,-0.095261
2018/12/07 17:33:39.162,-0.028195
2018/12/07 17:33:39.352,-0.076099
2018/12/07 17:33:39.539,-0.044163
2018/12/07 17:33:39.723,-0.082486
2018/12/07 17:33:39.910,-0.060131
2018/12/07 17:33:40.098,-0.037776
2018/12/07 17:33:40.292,-0.053744
2018/12/07 17:33:40.477,-0.005839
2018/12/07 17:33:40.662,-0.021807
2018/12/07 17:33:40.849,0.086776
2018/12/07 17:33:41.046,0.176198
2018/12/07 17:33:41.238,0.272007
2018/12/07 17:33:41.439,0.457237
2018/12/07 17:33:41.611,0.501948
2018/12/07 17:33:41.790,0.779794
2018/12/07 17:33:41.978,0.834085
2018/12/07 17:33:42.170,0.795762
2018/12/07 17:33:42.363,0.610531
2018/12/07 17:33:42.536,0.581789
2018/12/07 17:33:42.720,0.652049
2018/12/07 17:33:42.902,0.792568
2018/12/07 17:33:43.091,0.856441
2018/12/07 17:33:43.273,0.798956
2018/12/07 17:33:43.457,0.837279
2018/12/07 17:33:43.628,0.84686
2018/12/07 17:33:43.791,0.821311
2018/12/07 17:33:43.976,0.74147
2018/12/07 17:33:44.158,0.677598
2018/12/07 17:33:44.329,0.687178
2018/12/07 17:33:44.514,0.655242
2018/12/07 17:33:44.710,0.67121
2018/12/07 17:33:44.899,0.760632
2018/12/07 17:33:45.084,0.897958
2018/12/07 17:33:45.277,0.942669
2018/12/07 17:33:45.475,1.041671
2018/12/07 17:33:45.690,1.147061
2018/12/07 17:33:45.852,1.255645
2018/12/07 17:33:46.036,1.262032
2018/12/07 17:33:46.220,1.34826
2018/12/07 17:33:46.403,1.504748
2018/12/07 17:33:46.598,1.498361
2018/12/07 17:33:46.773,1.38339
2018/12/07 17:33:46.972,1.434488
